ts	phase	decision	why	evidence	result
2026-09-02T18:45:00Z	setup	Read Poteto Principles (fix-root-causes, prove-it-works, experience-first, laziness-protocol) in full	Ground every trigger before multi-step bug fix	skill://Poteto Mode	done
2026-09-02T18:50:00Z	reproduce	Mapped On-Demand pipeline (youtube:videoId -> youtubePlayer.loadAndPlay -> radioPlayer.playTrack) and mute path (setMute only changed volume)	Needed single source to see why premium tracks stall and mute does not pause	src/audio/youtubePlayer.ts:1-35, src/audio/radioPlayer.ts:230-276, src/App.tsx:587-599	done, mapped
2026-09-02T18:55:00Z	diagnose	Probed Nas WdkDdTYLSG8 via youtubei/v1/player: UNPLAYABLE premium-only (This video is only available to Music Premium members, streamingData false)	Needed root cause for wont play, not a bad ID	youtubei probe output, oEmbed 200 for WdkDdTYLSG8	result UNPLAYABLE
2026-09-02T19:00:00Z	fix	Added youtubePlayer.subscribeError + YTPlaybackErrorCallback, forwarded onError 150, and radioPlayer auto-skip on YouTube/<audio> error guarded by hasFiredEnded	Single error channel should advance queue instead of stalling silently	src/audio/youtubePlayer.ts:14-27,97-104,236-242; src/audio/radioPlayer.ts:77-98,90-98,143-165	compiled
2026-09-02T19:05:00Z	fix	Made mute pause On-Demand: radioPlayer.setMute now pauses youtubePlayer/audio when currentMode==ondemand and resumes on unmute; playTrack respects muted start	Mute for On-Demand should pause per spec, radio stays volume-only	src/audio/radioPlayer.ts:143-165,263-291	compiled
2026-09-02T19:15:00Z	verify	Ran Playwright harness with mocked Google playlistItems/videos and real YouTube IFrame: scrubber froze at 00:05 for 2.2s on F9 mute and resumed to 00:06 on unmute; premium WdkDdTYLSG8 fired onError 150 and auto-skipped to Billie Jean	Needed live proof, not self-report	scripts/verify-mute-and-premium.tmp.mjs, artifacts/verify-rradio/ondemand-drilldown/verify-mute.png, verify-premium-skip.png	PASS mute freeze, PASS skip
2026-09-02T19:34:00Z	release	Rebuilt frontend (vite 518k) and Tauri release, launched PID 5392, committed fix(audio): auto-skip premium-only and pause on mute	Prove artifact is real binary, not just build	src-tauri/target/release/rradio.exe, commit d079600	release live
2026-09-02T19:50:00Z	reproduce	Mapped overlay pipeline (tauri.conf transparent:true decorations:false, index.css bg-transparent, configure_pure_overlay_window) and reproduced chrome from screenshot 1568x844	Needed to see why window showed title bar and opaque background	src-tauri/tauri.conf.json:21-22, src-tauri/src/lib.rs:10-68, src/index.css:6-7, index.html:2,13	reproduced chrome + opaque
2026-09-02T20:00:00Z	fix	Restored pure overlay: reapply configure_pure_overlay_window after every show in set_window_visibility, set_settings_window_mode, hotkey F8/F10; strip WS_CAPTION/WS_BORDER/WS_THICKFRAME -> WS_POPUP, keep WS_EX_TOOLWINDOW/TOPMOST/LAYERED with WS_EX_TRANSPARENT toggle, DWM -1, SetWindowPos FRAMECHANGED	Window chrome reappeared after ShowWindow/set_size, so style must be reapplied on every transition	src-tauri/src/lib.rs:64-145, commit b21bec3	compiled, HWND 0x940B0000 visible correct
2026-09-02T20:15:00Z	diagnose	Extracted user video 20260902-1828-35.7641773.mp4 (21s, 2560x1440) via ffmpeg at 0.5/2/4/6/10s: confirmed transparent in some frames but XP bar on focus loss and F8 flash -> missing WS_EX_NOACTIVATE and SWP_NOACTIVATE	Video proved flash and classic frame on activation, not just initial show	artifacts/verify-rradio/window-xp-bar-frame-*.png, GetWindowLong checks	diagnosed NOACTIVATE missing
2026-09-02T20:30:00Z	fix	Fixed configure to use WS_EX_NOACTIVATE, drop WS_VISIBLE, SetWindowPos with SWP_NOACTIVATE; hotkey and settings now ShowWindow(SW_SHOWNOACTIVATE) after configure and re-import ShowWindow/SW_SHOWNOACTIVATE	Prevent activation and classic frame fallback; ShowWindow must not activate overlay	commit beb36fd, src-tauri/src/lib.rs:10-68,230-290	compiled
2026-09-02T20:35:00Z	verify	Live HWND checks after fix: before F8 14x14 0x94000000 TRANS true, after F8 1s 2048x272 0x940B0000 TRANS false NOACT true, after 3s still 2048x272 CAP false, after focus loss to Shell_TrayWnd still 0x940B0000 CAP false	Proved F8 stays open 3s and no XP bar on blur	scripts/verify-overlay-fix.ps1 output	PASS F8 stays, PASS no XP bar
2026-09-02T20:43:00Z	release	Rebuilt release after second overlay fix, launched PID 592, committed fix(window): prevent flash and XP caption via NOACTIVATE	Second overlay fix must be in shipped binary	src-tauri/target/release/rradio.exe, commit beb36fd	release live
2026-09-02T20:45:00Z	docs	Ran continual-learning via agents-memory-updater to capture mute-pause and overlay resilience rules in AGENTS.md	Encode lessons so next session starts with single source of truth	AGENTS.md, commits e733a65/b21bec3/beb36fd, cache/continual-learning-state.json	AGENTS.md 12/12
